lemma,animacy
driver,0
introduction,0
requirement,0
photo,0
concept,0
football,0
flight,1
left,0
background,1
technique,0
improvement,0
consequence,0
circumstance,1
reaction,1
lesson,0
failure,1
speaker,1
mountain,0
marriage,0
meal,0
colleague,0
expression,0
owner,0
lady,0
duty,0
strength,0
payment,0
contribution,0
chapter,1
secret,0
novel,0
union,0
suggestion,0
path,0
topic,0
crisis,1
kitchen,0
safety,0
insurance,0
length,0
investigation,0
weapon,1
district,1
tradition,0
consideration,0
strange,0
threat,0
accident,0
revenue,0
cancer,0
volume,0
location,0
actor,0
opposite,0
camera,0
coffee,0
museum,0
visitor,0
freedom,0
construction,0
objective,1
vehicle,0
scientist,1
route,0
danger,0
army,0
council,0
editor,0
delivery,0
guest,0
bedroom,0
noise,1
affair,0
citizen,0
temperature,0
belief,0
troop,0
arrangement,0
prison,1
representative,0
capacity,0
assessment,0
ad,0
fee,0
hall,0
regulation,0
studio,0
tourist,0
component,0
lawyer,0
description,0
confidence,0
perspective,0
error,0
asset,0
leadership,0
commitment,0
literature,0
victim,0
division,0
device,0
factory,0
recommendation,0
resident,0
combination,0
principal,0
session,0
protection,0
shot,1
appearance,0
judgment,1
definition,0
farmer,0
comparison,0
identity,1
desk,0
association,0
investor,0
tea,0
youth,0
expectation,0
employment,0
breath,0
engine,0
notion,0
opposition,0
relief,0
debt,0
outcome,0
explanation,0
researcher,0
selection,0
participant,0
vision,0
personality,1
entry,0
fellow,0
chemical,0
chairman,0
yard,0
instruction,0
intelligence,0
ideal,0
folk,0
cat,0
presentation,0
faith,0
reduction,0
complaint,1
mission,0
passenger,0
justice,0
religion,0
employer,0
impression,1
sky,0
ancient,0
ill,0
multiple,0
legislation,0
county,0
mobile,0
assistant,1
hell,0
household,0
voter,1
absence,0
medicine,0
intention,0
dozen,1
settlement,0
estate,1
shut,1
victory,0
critic,0
emotion,0
enemy,0
priority,0
resolution,0
injury,0
exhibition,1
producer,0
incident,0
childhood,1
politician,0
lake,0
aircraft,0
self,0
metal,0
existence,0
appointment,1
initiative,0
plastic,0
assumption,0
extreme,0
passage,0
reputation,0
negotiation,0
mechanism,0
democracy,0
observation,0
meat,1
concentration,0
implication,1
king,0
interaction,0
soul,0
emergency,0
manufacturer,0
accommodation,0
reporter,0
climate,0
exception,0
corporation,0
winner,1
beauty,0
creation,0
illness,1
journalist,0
gene,0
criterion,0
criticism,0
convention,1
examination,0
revolution,0
protein,0
minority,0
origin,0
interpretation,0
gentleman,1
drama,0
minor,0
achievement,0
supplier,1
acquisition,0
recognition,0
assistance,0
retirement,0
variation,0
representation,0
preparation,1
agenda,0
emphasis,0
edition,0
entertainment,0
publication,0
framework,0
equivalent,0
governor,0
arrival,0
beer,1
specialist,0
mood,0
episode,0
symptom,0
era,0
prisoner,0
welfare,0
phenomenon,0
pupil,0
routine,0
hero,0
supporter,1
disaster,1
terrorist,0
vital,0
depression,0
distinction,0
satisfaction,0
obligation,0
pub,0
perception,0
currency,0
database,1
territory,1
height,0
expansion,0
boundary,0
ratio,0
pollution,0
symbol,0
apartment,0
demonstration,0
analyst,0
platform,0
restriction,0
foundation,1
designer,0
innovation,0
album,0
singer,0
extension,0
invitation,0
adviser,0
mode,0
poem,0
competitor,0
alcohol,0
festival,0
vegetable,0
van,0
confident,0
planet,0
depth,1
giant,0
god,0
substance,0
independence,1
inner,0
shadow,0
intervention,1
exam,0
vice,0
infection,0
jacket,0
efficiency,0
membership,0
quantity,0
dealer,0
shareholder,0
discovery,0
resistance,0
bath,0
frequency,0
philosophy,0
approval,0
involvement,0
exposure,0
digital,0
formation,1
establishment,0
summary,0
recovery,0
operator,0
infant,1
dependent,0
anxiety,0
virus,0
teenager,0
surgery,0
musician,1
significance,0
charity,0
universal,0
cigarette,1
consultant,0
historian,0
cousin,0
twin,0
custom,0
preference,0
incentive,0
league,0
margin,0
opponent,0
capability,0
absolute,0
barrier,0
tendency,0
survival,0
permission,0
valley,1
evolution,0
architecture,0
coal,0
measurement,1
illustration,0
buyer,0
laboratory,1
promotion,0
passion,0
province,1
evaluation,0
weakness,1
announcement,0
opera,1
gallery,0
chest,0
publisher,0
celebration,0
compensation,1
deficit,0
friendship,0
profession,0
equation,0
inflation,0
therapy,0
orange,0
imagination,0
throat,1
insight,1
expenditure,0
joy,0
poet,0
fortune,0
ceremony,1
mixture,0
scholar,1
creature,0
partnership,1
participation,0
clause,1
penalty,0
poetry,0
sake,0
possession,0
abortion,0
tale,1
maintenance,0
constraint,0
diversity,0
inquiry,0
limitation,0
indication,0
stability,0
carbon,1
cheese,0
destruction,0
guitar,1
piano,0
mystery,0
menu,0
airline,0
amendment,0
grandmother,0
jury,0
composition,0
maker,0
chocolate,0
potato,0
tissue,0
pro,0
stair,0
motivation,1
interior,0
championship,0
servant,0
immigrant,1
excess,0
complexity,1
liability,1
implementation,0
guideline,0
envelope,0
luxury,1
printer,0
attraction,0
ocean,0
veteran,0
reflection,0
determination,0
fiction,0
confusion,0
logic,0
grammar,0
liquid,0
uncle,0
rice,0
slope,1
vessel,0
verb,0
transportation,0
comedy,0
storage,0
universe,0
lover,0
portrait,0
innocent,1
adjustment,0
stranger,0
probability,0
uncertainty,1
refugee,1
excitement,0
pregnancy,0
experimental,1
empire,1
attendance,0
ownership,0
qualification,0
athlete,0
server,1
hypothesis,0
royal,1
mayor,0
aunt,0
tournament,0
registration,1
listener,0
tender,0
density,0
