lemma,animacy
driver,0
introduction,1
requirement,1
photo,0
concept,1
football,0
flight,0
left,0
background,0
technique,0
improvement,1
consequence,0
circumstance,0
reaction,1
lesson,0
failure,0
speaker,0
mountain,0
marriage,0
meal,1
colleague,0
expression,0
owner,0
lady,0
duty,0
strength,0
payment,0
contribution,0
chapter,0
secret,1
novel,0
union,0
suggestion,0
path,0
topic,1
crisis,0
kitchen,0
safety,1
insurance,1
length,0
investigation,0
weapon,0
district,1
tradition,0
consideration,1
strange,0
threat,0
accident,0
revenue,0
cancer,0
volume,0
location,0
actor,0
opposite,0
camera,0
coffee,0
museum,1
visitor,0
freedom,0
construction,0
objective,0
vehicle,0
scientist,0
route,0
danger,0
army,0
council,0
editor,0
delivery,0
guest,0
bedroom,0
noise,1
affair,0
citizen,0
temperature,0
belief,0
troop,1
arrangement,0
prison,0
representative,0
capacity,0
assessment,0
ad,0
fee,0
hall,0
regulation,0
studio,0
tourist,0
component,0
lawyer,0
description,0
confidence,0
perspective,0
error,0
asset,0
leadership,0
commitment,0
literature,0
victim,0
division,0
device,0
factory,0
recommendation,0
resident,1
combination,0
principal,1
session,0
protection,1
shot,0
appearance,0
judgment,0
definition,0
farmer,0
comparison,1
identity,0
desk,0
association,0
investor,0
tea,0
youth,0
expectation,0
employment,0
breath,0
engine,0
notion,0
opposition,0
relief,0
debt,0
outcome,0
explanation,0
researcher,0
selection,1
participant,0
vision,0
personality,0
entry,0
fellow,0
chemical,0
chairman,0
yard,0
instruction,0
intelligence,0
ideal,0
folk,0
cat,0
presentation,0
faith,0
reduction,0
complaint,0
mission,0
passenger,0
justice,0
religion,0
employer,0
impression,1
sky,1
ancient,0
ill,0
multiple,1
legislation,0
county,1
mobile,0
assistant,0
hell,0
household,0
voter,0
absence,0
medicine,0
intention,0
dozen,0
settlement,0
estate,0
shut,0
victory,0
critic,1
emotion,0
enemy,0
priority,0
resolution,0
injury,0
exhibition,0
producer,0
incident,1
childhood,1
politician,0
lake,0
aircraft,0
self,0
metal,0
existence,1
appointment,0
initiative,0
plastic,0
assumption,1
extreme,0
passage,0
reputation,0
negotiation,0
mechanism,0
democracy,0
observation,0
meat,0
concentration,0
implication,0
king,0
interaction,0
soul,0
emergency,0
manufacturer,1
accommodation,0
reporter,0
climate,0
exception,0
corporation,0
winner,1
beauty,0
creation,0
illness,0
journalist,0
gene,1
criterion,0
criticism,0
convention,0
examination,1
revolution,0
protein,0
minority,0
origin,0
interpretation,0
gentleman,0
drama,1
minor,0
achievement,1
supplier,0
acquisition,0
recognition,0
assistance,1
retirement,1
variation,1
representation,0
preparation,0
agenda,0
emphasis,0
edition,1
entertainment,0
publication,0
framework,0
equivalent,0
governor,0
arrival,0
beer,0
specialist,0
mood,1
episode,0
symptom,0
era,0
prisoner,0
welfare,0
phenomenon,1
pupil,0
routine,0
hero,0
supporter,0
disaster,1
terrorist,0
vital,0
depression,1
distinction,0
satisfaction,0
obligation,0
pub,0
perception,0
currency,0
database,0
territory,0
height,0
expansion,0
boundary,0
ratio,0
pollution,1
symbol,0
apartment,0
demonstration,0
analyst,0
platform,1
restriction,0
foundation,0
designer,0
innovation,0
album,0
singer,1
extension,0
invitation,0
adviser,0
mode,0
poem,1
competitor,0
alcohol,0
festival,0
vegetable,0
van,0
confident,0
planet,0
depth,0
giant,0
god,0
substance,0
independence,0
inner,0
shadow,0
intervention,0
exam,0
vice,0
infection,0
jacket,0
efficiency,1
membership,0
quantity,0
dealer,0
shareholder,1
discovery,0
resistance,0
bath,0
frequency,0
philosophy,0
approval,0
involvement,0
exposure,0
digital,0
formation,0
establishment,0
summary,0
recovery,0
operator,0
infant,0
dependent,0
anxiety,1
virus,1
teenager,1
surgery,0
musician,0
significance,0
charity,0
universal,1
cigarette,0
consultant,0
historian,0
cousin,0
twin,0
custom,0
preference,0
incentive,1
league,1
margin,1
opponent,0
capability,0
absolute,0
barrier,0
tendency,0
survival,0
permission,0
valley,0
evolution,0
architecture,0
coal,1
measurement,0
illustration,0
buyer,0
laboratory,0
promotion,0
passion,0
province,0
evaluation,0
weakness,0
announcement,0
opera,0
gallery,0
chest,0
publisher,0
celebration,0
compensation,0
deficit,0
friendship,0
profession,0
equation,0
inflation,0
therapy,0
orange,0
imagination,0
throat,0
insight,0
expenditure,0
joy,0
poet,1
fortune,0
ceremony,0
mixture,1
scholar,0
creature,0
partnership,0
participation,0
clause,1
penalty,0
poetry,0
sake,0
possession,0
abortion,1
tale,0
maintenance,1
constraint,0
diversity,0
inquiry,0
limitation,1
indication,0
stability,0
carbon,1
cheese,0
destruction,0
guitar,0
piano,0
mystery,0
menu,0
airline,0
amendment,0
grandmother,0
jury,0
composition,0
maker,0
chocolate,0
potato,1
tissue,0
pro,1
stair,0
motivation,0
interior,0
championship,0
servant,0
immigrant,0
excess,0
complexity,0
liability,0
implementation,1
guideline,0
envelope,0
luxury,1
printer,0
attraction,0
ocean,1
veteran,0
reflection,0
determination,0
fiction,0
confusion,0
logic,0
grammar,0
liquid,0
uncle,0
rice,0
slope,0
vessel,1
verb,0
transportation,0
comedy,0
storage,1
universe,0
lover,0
portrait,0
innocent,0
adjustment,0
stranger,0
probability,0
uncertainty,0
refugee,0
excitement,0
pregnancy,0
experimental,0
empire,0
attendance,1
ownership,0
qualification,0
athlete,0
server,0
hypothesis,0
royal,0
mayor,0
aunt,0
tournament,1
registration,0
listener,1
tender,0
density,0
